label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,run,seed
APACHE-IV,0.7102,0.4254,0.1316,9.4,0.0485,0.422,-0.8586,0.5738,0.774,0.4364,0.6859,0.2444,APACHE-IV,4,3
GP,0.757,0.4525,0.1261,15.0,0.0107,1.1056,0.1826,0.7005,0.6766,0.4431,0.7516,0.1636,GP,5,4
LR,0.7671,0.4805,0.2016,-35.9,0.2615,0.9112,-1.5814,0.7088,0.6936,0.4583,0.6363,0.4979,LR,5,4
RF,0.7812,0.5002,0.1362,8.2,0.1211,1.4875,-0.4686,0.6703,0.7574,0.4846,0.7206,0.3542,RF,5,4
XGB,0.7691,0.4954,0.1515,-2.1,0.1422,0.8352,-1.0483,0.739,0.6535,0.4472,0.698,0.3291,XGB,5,4
LR_platt,0.7671,0.4805,0.1227,17.3,0.0132,1.0172,0.0448,0.7088,0.6936,0.4583,0.7605,0.1672,LR_platt,5,4
RF_platt,0.7812,0.5002,0.1204,18.9,0.0163,1.061,0.0421,0.6703,0.7574,0.4846,0.773,0.2103,RF_platt,5,4
APACHE-IV,0.7114,0.4081,0.1421,6.0,0.0633,0.4416,-0.8312,0.5959,0.752,0.444,0.6797,0.2673,APACHE-IV,5,4
GP,0.7526,0.45,0.1211,15.0,0.0171,1.0747,0.1722,0.5971,0.7652,0.4378,0.7441,0.18,GP,6,5
LR,0.7835,0.4932,0.1808,-26.9,0.2358,0.9405,-1.5134,0.713,0.7297,0.4731,0.6656,0.4843,LR,6,5
RF,0.7954,0.4951,0.1259,11.6,0.1025,1.5485,-0.2798,0.7652,0.6857,0.4668,0.7441,0.2861,RF,6,5
XGB,0.7668,0.458,0.1396,2.0,0.1163,0.7944,-0.9573,0.7043,0.6984,0.4463,0.7087,0.3177,XGB,6,5
LR_platt,0.7835,0.4932,0.1156,18.8,0.0146,1.0474,0.145,0.713,0.7297,0.4731,0.7762,0.1626,LR_platt,6,5
RF_platt,0.7954,0.4951,0.1152,19.1,0.0135,1.132,0.2841,0.7652,0.6857,0.4668,0.7886,0.1481,RF_platt,6,5
APACHE-IV,0.7073,0.3824,0.1338,6.4,0.0518,0.4216,-0.8752,0.5498,0.789,0.4296,0.6814,0.2528,APACHE-IV,6,5
GP,0.7457,0.4342,0.1191,14.4,0.0141,1.0786,0.1844,0.7049,0.6488,0.4079,0.7386,0.139,GP,7,6
LR,0.7665,0.4359,0.1882,-35.3,0.2452,0.8642,-1.5535,0.623,0.771,0.4506,0.6439,0.5307,LR,7,6
RF,0.7831,0.4366,0.1279,8.1,0.104,1.3925,-0.4166,0.7514,0.686,0.453,0.7311,0.2876,RF,7,6
XGB,0.7424,0.3928,0.1508,-8.4,0.1359,0.7089,-1.1025,0.694,0.6707,0.4161,0.6745,0.3211,XGB,7,6
LR_platt,0.7665,0.4359,0.118,15.2,0.0103,0.9454,-0.0632,0.623,0.771,0.4506,0.7614,0.1879,LR_platt,7,6
RF_platt,0.7831,0.4366,0.1168,16.0,0.0137,0.9844,0.0342,0.7514,0.686,0.453,0.7763,0.1489,RF_platt,7,6
APACHE-IV,0.7269,0.3918,0.1283,7.2,0.0472,0.5045,-0.8365,0.5621,0.8093,0.4458,0.7033,0.2747,APACHE-IV,7,6
GP,0.7325,0.4282,0.1396,11.9,0.0299,0.9451,0.068,0.781,0.5513,0.4334,0.7175,0.1317,GP,8,7
LR,0.7648,0.4774,0.2015,-27.2,0.2469,0.8428,-1.4598,0.8021,0.5961,0.4659,0.6414,0.4321,LR,8,7
RF,0.7657,0.4763,0.1418,10.5,0.0935,1.2995,-0.3735,0.6623,0.7383,0.486,0.719,0.3328,RF,8,7
XGB,0.7456,0.4618,0.157,0.9,0.1143,0.6799,-0.9386,0.7625,0.5935,0.4467,0.6884,0.2656,XGB,8,7
LR_platt,0.7648,0.4774,0.1334,15.8,0.0285,0.9396,0.0649,0.8021,0.5961,0.4659,0.7505,0.1338,LR_platt,8,7
RF_platt,0.7657,0.4763,0.1335,15.8,0.025,0.9281,0.071,0.6623,0.7383,0.486,0.7532,0.1895,RF_platt,8,7
APACHE-IV,0.6767,0.3671,0.1534,3.0,0.0584,0.2704,-0.942,0.6545,0.6515,0.4256,0.6475,0.1836,APACHE-IV,8,7
GP,0.7589,0.4185,0.1012,15.0,0.0235,1.1238,-0.0122,0.7235,0.6734,0.3846,0.7472,0.1475,GP,9,8
LR,0.7546,0.4187,0.1857,-56.0,0.2644,0.8619,-1.7671,0.6872,0.6904,0.3796,0.6225,0.4598,LR,9,8
RF,0.7893,0.4424,0.1188,0.1,0.1402,1.4971,-0.6521,0.7095,0.7271,0.4157,0.7192,0.3163,RF,9,8
XGB,0.7447,0.4066,0.1406,-18.2,0.1577,0.7578,-1.3044,0.6927,0.6662,0.3669,0.6659,0.3252,XGB,9,8
LR_platt,0.7546,0.4187,0.1021,14.2,0.0298,0.9816,-0.2879,0.6872,0.6904,0.3796,0.7397,0.1613,LR_platt,9,8
RF_platt,0.7893,0.4424,0.099,16.8,0.0306,1.0756,-0.1507,0.7095,0.7271,0.4157,0.774,0.1766,RF_platt,9,8
APACHE-IV,0.7128,0.3492,0.1189,0.5,0.0798,0.5098,-1.0666,0.5587,0.7918,0.392,0.6729,0.2795,APACHE-IV,9,8
GP,0.7114,0.3582,0.1171,9.8,0.0211,0.9533,-0.0508,0.756,0.5357,0.3501,0.7009,0.1179,GP,10,9
LR,0.7503,0.4164,0.1748,-34.7,0.2301,0.8565,-1.5176,0.6898,0.695,0.4089,0.6353,0.4437,LR,10,9
RF,0.7674,0.4286,0.1212,6.7,0.104,1.3584,-0.4291,0.6657,0.725,0.4182,0.7154,0.2954,RF,10,9
XGB,0.7363,0.4018,0.1396,-7.6,0.1248,0.709,-1.1097,0.753,0.5788,0.3693,0.6739,0.232,XGB,10,9
LR_platt,0.7503,0.4164,0.1112,14.4,0.0098,0.9551,-0.0335,0.6898,0.695,0.4089,0.7454,0.1472,LR_platt,10,9
RF_platt,0.7674,0.4286,0.1098,15.4,0.0109,0.9688,0.0203,0.6657,0.725,0.4182,0.7619,0.1566,RF_platt,10,9
APACHE-IV,0.6896,0.3412,0.1289,2.1,0.0587,0.4093,-1.0007,0.6415,0.6593,0.3682,0.6603,0.1745,APACHE-IV,10,9
GP,0.7414,0.4246,0.1234,13.4,0.0102,1.0362,0.098,0.706,0.6561,0.4203,0.7363,0.1492,GP,11,10
LR,0.7708,0.4569,0.1795,-26.0,0.2318,0.905,-1.4716,0.6877,0.7134,0.4486,0.6549,0.4582,LR,11,10
RF,0.7891,0.4767,0.1264,11.3,0.0963,1.4565,-0.3174,0.748,0.6927,0.4638,0.741,0.288,RF,11,10
XGB,0.7628,0.4403,0.1454,-2.1,0.1279,0.7501,-1.0427,0.7349,0.6561,0.4338,0.6989,0.2996,XGB,11,10
LR_platt,0.7708,0.4569,0.1188,16.6,0.0164,1.0172,0.1385,0.6877,0.7134,0.4486,0.7626,0.1504,LR_platt,11,10
RF_platt,0.7891,0.4767,0.1163,18.4,0.0183,1.0464,0.1809,0.748,0.6927,0.4638,0.78,0.1495,RF_platt,11,10
APACHE-IV,0.7044,0.3677,0.1363,4.6,0.0472,0.4044,-0.9165,0.6704,0.6733,0.4142,0.6808,0.1836,APACHE-IV,11,10
GP,0.7245,0.4138,0.1377,11.1,0.0197,0.9545,0.0646,0.6667,0.6657,0.4333,0.7147,0.165,GP,12,11
LR,0.7645,0.4524,0.198,-27.8,0.2446,0.871,-1.4477,0.7469,0.6745,0.4787,0.6422,0.4626,LR,12,11
RF,0.7719,0.4676,0.138,10.9,0.0919,1.3096,-0.3575,0.6605,0.7593,0.4937,0.726,0.3406,RF,12,11
XGB,0.7606,0.4789,0.1507,2.7,0.117,0.7546,-0.9248,0.6358,0.744,0.4682,0.7021,0.371,XGB,12,11
LR_platt,0.7645,0.4524,0.1319,14.9,0.0242,0.975,0.1239,0.7469,0.6745,0.4787,0.7524,0.1485,LR_platt,12,11
RF_platt,0.7719,0.4676,0.1299,16.1,0.0303,0.9673,0.1423,0.6605,0.7593,0.4937,0.7568,0.1961,RF_platt,12,11
APACHE-IV,0.6846,0.3603,0.1443,3.4,0.0571,0.3365,-0.9595,0.5373,0.7788,0.4254,0.6561,0.2665,APACHE-IV,12,11
GP,0.7361,0.4414,0.1265,13.8,0.0088,0.9997,0.018,0.6411,0.7088,0.4301,0.7317,0.1761,GP,13,12
LR,0.7514,0.4514,0.2033,-38.6,0.2606,0.7999,-1.5713,0.7096,0.6694,0.4394,0.6211,0.4696,LR,13,12
RF,0.7736,0.4592,0.1361,7.2,0.1135,1.3109,-0.5398,0.6493,0.7552,0.4679,0.7168,0.346,RF,13,12
XGB,0.7554,0.4417,0.1556,-6.1,0.1404,0.7026,-1.1006,0.6137,0.7689,0.4585,0.6852,0.4203,XGB,13,12
LR_platt,0.7514,0.4514,0.1245,15.1,0.0116,0.8919,-0.1525,0.7096,0.6694,0.4394,0.7455,0.1544,LR_platt,13,12
